[10/Feb/2015 23:37:08] DEBUG [django.db.backends:91] (0.003) SHOW TABLES; args=None
[10/Feb/2015 23:37:08] DEBUG [django.db.backends:91] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[10/Feb/2015 23:37:46] DEBUG [django.db.backends:91] (0.003) SHOW TABLES; args=None
[10/Feb/2015 23:37:46] DEBUG [django.db.backends:91] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[10/Feb/2015 23:37:50] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `taskmanager_task`; args=()
[10/Feb/2015 23:37:50] DEBUG [django.db.backends:91] (0.002) SELECT `taskmanager_task`.`id`, `taskmanager_task`.`account_id`, `taskmanager_task`.`team_id`, `taskmanager_task`.`created_at`, `taskmanager_task`.`title`, `taskmanager_task`.`content`, `taskmanager_task`.`status`, `taskmanager_task`.`progression`, `taskmanager_task`.`due_date`, `taskmanager_task`.`is_repeatable`, `taskmanager_task`.`repeat_every`, `taskmanager_task`.`repeat_count`, `taskmanager_task`.`is_event`, `taskmanager_task`.`is_prostpondable`, `taskmanager_task`.`is_referable` FROM `taskmanager_task` ORDER BY `taskmanager_task`.`created_at` ASC LIMIT 1; args=()
[10/Feb/2015 23:37:50] DEBUG [django.db.backends:91] (0.001) SELECT `taskmanager_tasktag`.`id`, `taskmanager_tasktag`.`title`, `taskmanager_tasktag`.`description`, `taskmanager_tasktag`.`color` FROM `taskmanager_tasktag` INNER JOIN `taskmanager_task_tags` ON ( `taskmanager_tasktag`.`id` = `taskmanager_task_tags`.`tasktag_id` ) WHERE `taskmanager_task_tags`.`task_id` = 2; args=(2,)
[10/Feb/2015 23:37:50] DEBUG [django.db.backends:91] (0.002) SELECT `AuthAccount_account`.`id`, `AuthAccount_account`.`password`, `AuthAccount_account`.`last_login`, `AuthAccount_account`.`email`, `AuthAccount_account`.`username`, `AuthAccount_account`.`first_name`, `AuthAccount_account`.`last_name`, `AuthAccount_account`.`tagline`, `AuthAccount_account`.`is_admin`, `AuthAccount_account`.`is_super_staff`, `AuthAccount_account`.`is_staff`, `AuthAccount_account`.`access_granted`, `AuthAccount_account`.`created_at`, `AuthAccount_account`.`updated_at` FROM `AuthAccount_account`; args=()
[10/Feb/2015 23:37:50] DEBUG [django.db.backends:91] (0.000) SELECT `AuthAccount_team`.`id`, `AuthAccount_team`.`name`, `AuthAccount_team`.`description`, `AuthAccount_team`.`account_id` FROM `AuthAccount_team`; args=()
[10/Feb/2015 23:37:50] DEBUG [django.db.backends:91] (0.001) SELECT `taskmanager_tasktag`.`id`, `taskmanager_tasktag`.`title`, `taskmanager_tasktag`.`description`, `taskmanager_tasktag`.`color` FROM `taskmanager_tasktag`; args=()
[10/Feb/2015 23:37:55] DEBUG [django.db.backends:91] (0.002) SELECT `AuthAccount_account`.`id`, `AuthAccount_account`.`password`, `AuthAccount_account`.`last_login`, `AuthAccount_account`.`email`, `AuthAccount_account`.`username`, `AuthAccount_account`.`first_name`, `AuthAccount_account`.`last_name`, `AuthAccount_account`.`tagline`, `AuthAccount_account`.`is_admin`, `AuthAccount_account`.`is_super_staff`, `AuthAccount_account`.`is_staff`, `AuthAccount_account`.`access_granted`, `AuthAccount_account`.`created_at`, `AuthAccount_account`.`updated_at` FROM `AuthAccount_account`; args=()
[10/Feb/2015 23:37:55] DEBUG [django.db.backends:91] (0.000) SELECT `AuthAccount_team`.`id`, `AuthAccount_team`.`name`, `AuthAccount_team`.`description`, `AuthAccount_team`.`account_id` FROM `AuthAccount_team`; args=()
[10/Feb/2015 23:37:55] DEBUG [django.db.backends:91] (0.000) SELECT `taskmanager_tasktag`.`id`, `taskmanager_tasktag`.`title`, `taskmanager_tasktag`.`description`, `taskmanager_tasktag`.`color` FROM `taskmanager_tasktag`; args=()
